3.49863e-10  1.52283e-06  
2.14681e-09  9.13701e-06  
3.76406e-09  1.59898e-05  
5.56100e-09  2.36039e-05  
8.25634e-09  0.000458754  
8.97511e-09  0.000461800  
1.11314e-08  0.000470937  
1.33778e-08  -0.000367003  
1.54442e-08  6.54819e-05  
1.74207e-08  0.000497586  
1.87685e-08  0.000503297  
2.06553e-08  8.75630e-05  
2.22726e-08  9.44158e-05  
2.38001e-08  -0.000322841  
2.41593e-08  0.000526139  
2.41588e-08  0.00306851  
2.42491e-08  0.000526520  
2.45195e-08  -0.00370963  
2.48777e-08  0.00222410  
2.50587e-08  -0.00455480  
2.53280e-08  -0.00328247  
2.54179e-08  -0.00328209  
2.58669e-08  -0.00243273  
2.62255e-08  0.00180608  
2.64944e-08  0.00519705  
2.64939e-08  0.00816316  
2.66729e-08  0.0115537  
2.67618e-08  0.0166389  
2.68507e-08  0.0217240  
2.69393e-08  0.0280803  
2.72074e-08  0.0357086  
2.74752e-08  0.0446080  
2.74743e-08  0.0492690  
2.75630e-08  0.0556254  
2.77415e-08  0.0615583  
2.78298e-08  0.0700333  
2.80979e-08  0.0776615  
2.81864e-08  0.0844416  
2.82750e-08  0.0912216  
2.82736e-08  0.0984250  
2.84519e-08  0.105629  
2.85403e-08  0.113257  
2.87186e-08  0.120461  
2.89865e-08  0.129360  
2.90750e-08  0.136564  
2.93430e-08  0.144616  
2.95212e-08  0.152244  
2.96099e-08  0.158600  
2.98783e-08  0.164110  
3.00573e-08  0.167924  
3.01463e-08  0.172586  
3.03254e-08  0.175552  
3.06843e-08  0.178096  
3.13134e-08  0.177252  
3.16732e-08  0.175134  
3.20341e-08  0.167085  
3.23049e-08  0.160730  
3.24859e-08  0.153951  
3.27565e-08  0.148020  
3.30271e-08  0.142513  
3.30282e-08  0.137005  
3.31189e-08  0.132344  
3.33900e-08  0.124294  
3.35708e-08  0.118363  
3.36617e-08  0.112855  
3.39323e-08  0.107347  
3.40231e-08  0.102263  
3.42043e-08  0.0942128  
3.43857e-08  0.0853153  
3.47465e-08  0.0781134  
3.48372e-08  0.0734528  
3.50185e-08  0.0649790  
3.51996e-08  0.0577764  
3.53809e-08  0.0493025  
3.57419e-08  0.0408295  
3.58332e-08  0.0332027  
3.61045e-08  0.0238819  
3.63755e-08  0.0162559  
3.67364e-08  0.00820656  
3.70971e-08  0.00142842  
3.74577e-08  -0.00492599  
3.76385e-08  -0.0108574  
3.81787e-08  -0.0163636  
3.88083e-08  -0.0201745  
3.95278e-08  -0.0235613  
4.04260e-08  -0.0222863  
4.12342e-08  -0.0201642  
4.24913e-08  -0.0163453  
4.33891e-08  -0.0125280  
4.43768e-08  -0.00955769  
4.59935e-08  -0.00658474  
4.70712e-08  -0.00403780  
4.79697e-08  -0.00403399  
4.93171e-08  -0.00233336  
5.09342e-08  -0.00190278  
5.23717e-08  -0.00147296  
5.34499e-08  -0.00146839  
5.48874e-08  -0.00146230  
5.65047e-08  -0.00145545  
5.82118e-08  -0.00144822  
5.97393e-08  -0.00186547  
6.09970e-08  -0.00101269  
6.31533e-08  -0.00100355  
6.46807e-08  -0.000997076  
6.69269e-08  -0.000987558  
6.86341e-08  -0.00140405  
7.00716e-08  -0.00139796  
7.15990e-08  -0.00139149  
7.27670e-08  -0.00138654  
7.42944e-08  -0.00138007  
7.63608e-08  -0.000947584  
7.86070e-08  -0.000938066  
8.03142e-08  -0.00135456  
8.17517e-08  -0.00134847  
8.37283e-08  -0.000916366  
8.58847e-08  -0.00133096  
8.84003e-08  -0.000896569  
9.09162e-08  -0.00130964  
9.32522e-08  -0.00129974  
9.57679e-08  -0.00128908  
9.79242e-08  -0.00127994  
9.97211e-08  -0.000848600  
